catchment,date,month,leadtime,CRPS
A,2011_1,1,1,8.334
A,2011_2,2,1,7.93
A,2011_3,3,1,7.191
A,2011_4,4,1,69.477
A,2011_5,5,1,79.747
A,2011_6,6,1,257.543
A,2011_7,7,1,401.173
A,2011_8,8,1,33.193
A,2011_9,9,1,13.164
A,2011_10,10,1,18.16
A,2011_11,11,1,9.569
A,2011_12,12,1,2.001
A,2012_1,1,1,3.704
A,2012_2,2,1,11.15
A,2012_3,3,1,10.546
A,2012_4,4,1,17.408
A,2012_5,5,1,4.947
A,2012_6,6,1,12.339
A,2012_7,7,1,64.23
A,2012_8,8,1,93.446
A,2012_9,9,1,42.952
A,2012_10,10,1,19.707
A,2012_11,11,1,4.768
A,2012_12,12,1,19.8
A,2013_1,1,1,6.478
A,2013_2,2,1,2.987
A,2013_3,3,1,6.556
A,2013_4,4,1,6.633
A,2013_5,5,1,20.753
A,2013_6,6,1,20.236
A,2013_7,7,1,104.177
A,2013_8,8,1,12.434
A,2013_9,9,1,40.07
A,2013_10,10,1,22.33
A,2013_11,11,1,12.191
A,2013_12,12,1,3.729
A,2014_1,1,1,5.595
A,2014_2,2,1,6.652
A,2014_3,3,1,6.413
A,2014_4,4,1,10.21
A,2014_5,5,1,16.193
A,2014_6,6,1,7.886
A,2014_7,7,1,79.948
A,2014_8,8,1,23.974
A,2014_9,9,1,31.262
A,2014_10,10,1,78.691
A,2014_11,11,1,5.163
A,2014_12,12,1,2.342
A,2015_1,1,1,3.788
A,2015_2,2,1,5.476
A,2015_3,3,1,6.529
A,2015_4,4,1,24.167
A,2015_5,5,1,27.442
A,2015_6,6,1,19.209
A,2015_7,7,1,29.196
A,2015_8,8,1,37.373
A,2015_9,9,1,54.77
A,2015_10,10,1,8.906
A,2015_11,11,1,16.601
A,2015_12,12,1,2.876
A,2016_1,1,1,13.068
A,2016_2,2,1,20.732
A,2016_3,3,1,24.375
A,2016_4,4,1,13.161
A,2016_5,5,1,17.675
A,2016_6,6,1,41.001
A,2016_7,7,1,63.912
A,2016_8,8,1,41.508
A,2016_9,9,1,27.389
A,2016_10,10,1,12.674
A,2016_11,11,1,10.079
A,2016_12,12,1,27.244
A,2017_1,1,1,2.134
A,2017_2,2,1,3.889
A,2017_3,3,1,5.849
A,2017_4,4,1,8.759
A,2017_5,5,1,26.313
A,2017_6,6,1,23.911
A,2017_7,7,1,61.791
A,2017_8,8,1,30.692
A,2017_9,9,1,20.6
A,2017_10,10,1,23.959
A,2017_11,11,1,5.344
A,2017_12,12,1,4.535
A,2018_1,1,1,2.814
A,2018_2,2,1,3.724
A,2018_3,3,1,6.578
A,2018_4,4,1,16.174
A,2018_5,5,1,83.309
A,2018_6,6,1,16.367
A,2018_7,7,1,18.592
A,2018_8,8,1,119.412
A,2018_9,9,1,22.759
A,2018_10,10,1,28.801
A,2018_11,11,1,13.77
A,2018_12,12,1,8.572
A,2019_1,1,1,14.124
A,2019_2,2,1,6.692
A,2019_3,3,1,5.568
A,2019_4,4,1,7.385
A,2019_5,5,1,15.84
A,2019_6,6,1,14.868
A,2019_7,7,1,25.868
A,2019_8,8,1,28.176
A,2019_9,9,1,17.148
A,2019_10,10,1,33.042
A,2019_11,11,1,28.817
A,2019_12,12,1,2.286
A,2020_1,1,1,11.062
A,2020_2,2,1,14.418
A,2020_3,3,1,20.385
A,2020_4,4,1,19.366
A,2020_5,5,1,32.843
A,2020_6,6,1,15.873
A,2020_7,7,1,22.829
A,2020_8,8,1,102.303
A,2020_9,9,1,15.485
A,2020_10,10,1,15.226
A,2020_11,11,1,6.237
A,2020_12,12,1,1.95
A,2011_1,1,2,10.48
A,2011_2,2,2,7.722
A,2011_3,3,2,49.779
A,2011_4,4,2,134.268
A,2011_5,5,2,301.382
A,2011_6,6,2,647.367
A,2011_7,7,2,479.637
A,2011_8,8,2,32.7
A,2011_9,9,2,16.152
A,2011_10,10,2,22.044
A,2011_11,11,2,13.908
A,2011_12,12,2,9.295
A,2012_1,1,2,23.823
A,2012_2,2,2,6.214
A,2012_3,3,2,41.216
A,2012_4,4,2,17.529
A,2012_5,5,2,21.285
A,2012_6,6,2,83.08
A,2012_7,7,2,160.223
A,2012_8,8,2,69.548
A,2012_9,9,2,43.926
A,2012_10,10,2,24.199
A,2012_11,11,2,17.873
A,2012_12,12,2,23.054
A,2013_1,1,2,11.007
A,2013_2,2,2,5.45
A,2013_3,3,2,11.822
A,2013_4,4,2,20.864
A,2013_5,5,2,24.534
A,2013_6,6,2,147.284
A,2013_7,7,2,56.773
A,2013_8,8,2,28.78
A,2013_9,9,2,31.374
A,2013_10,10,2,15.274
A,2013_11,11,2,12.872
A,2013_12,12,2,4.087
A,2014_1,1,2,10.618
A,2014_2,2,2,15.6
A,2014_3,3,2,27.074
A,2014_4,4,2,24.239
A,2014_5,5,2,26.092
A,2014_6,6,2,103.441
A,2014_7,7,2,38.637
A,2014_8,8,2,27.379
A,2014_9,9,2,81.916
A,2014_10,10,2,68.168
A,2014_11,11,2,6.281
A,2014_12,12,2,5.869
A,2015_1,1,2,14.117
A,2015_2,2,2,21.745
A,2015_3,3,2,18.436
A,2015_4,4,2,67.545
A,2015_5,5,2,29.162
A,2015_6,6,2,105.434
A,2015_7,7,2,67.061
A,2015_8,8,2,111.829
A,2015_9,9,2,37.428
A,2015_10,10,2,58.212
A,2015_11,11,2,16.592
A,2015_12,12,2,12.759
A,2016_1,1,2,5.047
A,2016_2,2,2,8.646
A,2016_3,3,2,19.853
A,2016_4,4,2,18.792
A,2016_5,5,2,65.055
A,2016_6,6,2,62.092
A,2016_7,7,2,46.665
A,2016_8,8,2,98.901
A,2016_9,9,2,17.538
A,2016_10,10,2,10.635
A,2016_11,11,2,15.15
A,2016_12,12,2,18.575
A,2017_1,1,2,5.341
A,2017_2,2,2,15.355
A,2017_3,3,2,13.929
A,2017_4,4,2,42.979
A,2017_5,5,2,46.902
A,2017_6,6,2,100.661
A,2017_7,7,2,68.911
A,2017_8,8,2,74.63
A,2017_9,9,2,25.015
A,2017_10,10,2,23.675
A,2017_11,11,2,5.147
A,2017_12,12,2,3.843
A,2018_1,1,2,3.434
A,2018_2,2,2,17.749
A,2018_3,3,2,30.982
A,2018_4,4,2,108.476
A,2018_5,5,2,36.787
A,2018_6,6,2,25.855
A,2018_7,7,2,78.808
A,2018_8,8,2,141.556
A,2018_9,9,2,67.95
A,2018_10,10,2,49.186
A,2018_11,11,2,23.441
A,2018_12,12,2,8.546
A,2019_1,1,2,10.255
A,2019_2,2,2,12.758
A,2019_3,3,2,14.595
A,2019_4,4,2,34.79
A,2019_5,5,2,14.993
A,2019_6,6,2,53.486
A,2019_7,7,2,46.878
A,2019_8,8,2,38.119
A,2019_9,9,2,24.889
A,2019_10,10,2,11.163
A,2019_11,11,2,14.97
A,2019_12,12,2,23.687
A,2020_1,1,2,19.646
A,2020_2,2,2,10.395
A,2020_3,3,2,78.18
A,2020_4,4,2,9.721
A,2020_5,5,2,19.025
A,2020_6,6,2,33.816
A,2020_7,7,2,279.809
A,2020_8,8,2,157.75
A,2020_9,9,2,22.15
A,2020_10,10,2,7.804
A,2020_11,11,2,5.749
A,2020_12,12,2,11.412
A,2011_1,1,3,5.906
A,2011_2,2,3,56.639
A,2011_3,3,3,108.245
A,2011_4,4,3,411.166
A,2011_5,5,3,632.497
A,2011_6,6,3,707.291
A,2011_7,7,3,471.608
A,2011_8,8,3,42.03
A,2011_9,9,3,22.901
A,2011_10,10,3,20.364
A,2011_11,11,3,20.959
A,2011_12,12,3,34.623
A,2012_1,1,3,10.749
A,2012_2,2,3,22.868
A,2012_3,3,3,37.743
A,2012_4,4,3,24.007
A,2012_5,5,3,88.882
A,2012_6,6,3,186.874
A,2012_7,7,3,174.138
A,2012_8,8,3,76.37
A,2012_9,9,3,48.278
A,2012_10,10,3,38.866
A,2012_11,11,3,18.017
A,2012_12,12,3,31.961
A,2013_1,1,3,11.649
A,2013_2,2,3,11.874
A,2013_3,3,3,15.243
A,2013_4,4,3,22.221
A,2013_5,5,3,146.921
A,2013_6,6,3,79.164
A,2013_7,7,3,58.772
A,2013_8,8,3,42.523
A,2013_9,9,3,43.124
A,2013_10,10,3,15.882
A,2013_11,11,3,8.721
A,2013_12,12,3,6.324
A,2014_1,1,3,24.947
A,2014_2,2,3,36.741
A,2014_3,3,3,56.445
A,2014_4,4,3,33.527
A,2014_5,5,3,95.072
A,2014_6,6,3,63.401
A,2014_7,7,3,52.588
A,2014_8,8,3,35.015
A,2014_9,9,3,66.969
A,2014_10,10,3,61.159
A,2014_11,11,3,12.117
A,2014_12,12,3,12.31
A,2015_1,1,3,35.173
A,2015_2,2,3,33.499
A,2015_3,3,3,48.333
A,2015_4,4,3,68.744
A,2015_5,5,3,75.981
A,2015_6,6,3,196.586
A,2015_7,7,3,122.59
A,2015_8,8,3,112.203
A,2015_9,9,3,16.097
A,2015_10,10,3,51.216
A,2015_11,11,3,11.586
A,2015_12,12,3,9.421
A,2016_1,1,3,26.849
A,2016_2,2,3,11.427
A,2016_3,3,3,31.034
A,2016_4,4,3,47.737
A,2016_5,5,3,44.24
A,2016_6,6,3,44.526
A,2016_7,7,3,68.611
A,2016_8,8,3,72.951
A,2016_9,9,3,15.823
A,2016_10,10,3,25.456
A,2016_11,11,3,10.754
A,2016_12,12,3,9.262
A,2017_1,1,3,20.656
A,2017_2,2,3,21.665
A,2017_3,3,3,47.918
A,2017_4,4,3,64.079
A,2017_5,5,3,79.313
A,2017_6,6,3,107.213
A,2017_7,7,3,43.755
A,2017_8,8,3,82.408
A,2017_9,9,3,31.328
A,2017_10,10,3,24.097
A,2017_11,11,3,14.515
A,2017_12,12,3,7.876
A,2018_1,1,3,10.809
A,2018_2,2,3,64.67
A,2018_3,3,3,136.386
A,2018_4,4,3,67.118
A,2018_5,5,3,46.577
A,2018_6,6,3,80.068
A,2018_7,7,3,132.194
A,2018_8,8,3,209.51
A,2018_9,9,3,80.695
A,2018_10,10,3,54.905
A,2018_11,11,3,7.475
A,2018_12,12,3,9.905
A,2019_1,1,3,14.27
A,2019_2,2,3,36.419
A,2019_3,3,3,54.727
A,2019_4,4,3,43.818
A,2019_5,5,3,70.203
A,2019_6,6,3,128.061
A,2019_7,7,3,47.203
A,2019_8,8,3,40.328
A,2019_9,9,3,35.202
A,2019_10,10,3,16.944
A,2019_11,11,3,46.935
A,2019_12,12,3,34.464
A,2020_1,1,3,10.864
A,2020_2,2,3,61.46
A,2020_3,3,3,46.449
A,2020_4,4,3,15.962
A,2020_5,5,3,33.647
A,2020_6,6,3,174.033
A,2020_7,7,3,348.33
A,2020_8,8,3,121.29
A,2020_9,9,3,22.158
A,2020_10,10,3,16.158
A,2020_11,11,3,11.241
A,2020_12,12,3,35.194
A,2011_1,1,4,58.057
A,2011_2,2,4,110.573
A,2011_3,3,4,370.347
A,2011_4,4,4,713.252
A,2011_5,5,4,723.94
A,2011_6,6,4,655.089
A,2011_7,7,4,484.004
A,2011_8,8,4,61.155
A,2011_9,9,4,23.838
A,2011_10,10,4,12.253
A,2011_11,11,4,47.644
A,2011_12,12,4,18.135
A,2012_1,1,4,14.719
A,2012_2,2,4,14.304
A,2012_3,3,4,20.239
A,2012_4,4,4,58.26
A,2012_5,5,4,212.877
A,2012_6,6,4,202.111
A,2012_7,7,4,177.041
A,2012_8,8,4,83.058
A,2012_9,9,4,63.736
A,2012_10,10,4,41.262
A,2012_11,11,4,26.855
A,2012_12,12,4,23.681
A,2013_1,1,4,9.558
A,2013_2,2,4,14.182
A,2013_3,3,4,25.952
A,2013_4,4,4,198.745
A,2013_5,5,4,55.912
A,2013_6,6,4,82.374
A,2013_7,7,4,50.481
A,2013_8,8,4,41.03
A,2013_9,9,4,44.011
A,2013_10,10,4,26.02
A,2013_11,11,4,10.127
A,2013_12,12,4,18.016
A,2014_1,1,4,60.877
A,2014_2,2,4,61.06
A,2014_3,3,4,67.717
A,2014_4,4,4,125.491
A,2014_5,5,4,47.891
A,2014_6,6,4,72.131
A,2014_7,7,4,43.776
A,2014_8,8,4,27.45
A,2014_9,9,4,61.101
A,2014_10,10,4,49.942
A,2014_11,11,4,19.82
A,2014_12,12,4,37.138
A,2015_1,1,4,40.492
A,2015_2,2,4,71.597
A,2015_3,3,4,47.373
A,2015_4,4,4,137.353
A,2015_5,5,4,172.884
A,2015_6,6,4,265.859
A,2015_7,7,4,113.236
A,2015_8,8,4,59.904
A,2015_9,9,4,16.167
A,2015_10,10,4,29.53
A,2015_11,11,4,13.715
A,2015_12,12,4,27.774
A,2016_1,1,4,24.95
A,2016_2,2,4,13.566
A,2016_3,3,4,45.228
A,2016_4,4,4,74.242
A,2016_5,5,4,43.069
A,2016_6,6,4,65.147
A,2016_7,7,4,56.955
A,2016_8,8,4,88.953
A,2016_9,9,4,22.164
A,2016_10,10,4,18.565
A,2016_11,11,4,8.708
A,2016_12,12,4,10.965
A,2017_1,1,4,38.575
A,2017_2,2,4,54.307
A,2017_3,3,4,60.128
A,2017_4,4,4,58.196
A,2017_5,5,4,72.532
A,2017_6,6,4,56.246
A,2017_7,7,4,45.043
A,2017_8,8,4,87.813
A,2017_9,9,4,33.391
A,2017_10,10,4,38.277
A,2017_11,11,4,23.396
A,2017_12,12,4,10.489
A,2018_1,1,4,39.34
A,2018_2,2,4,179.365
A,2018_3,3,4,81.208
A,2018_4,4,4,73.018
A,2018_5,5,4,107.917
A,2018_6,6,4,111.15
A,2018_7,7,4,187.193
A,2018_8,8,4,221.952
A,2018_9,9,4,91.141
A,2018_10,10,4,33.02
A,2018_11,11,4,7.914
A,2018_12,12,4,12.802
A,2019_1,1,4,34.49
A,2019_2,2,4,84.329
A,2019_3,3,4,50.543
A,2019_4,4,4,112.851
A,2019_5,5,4,126.449
A,2019_6,6,4,100.55
A,2019_7,7,4,47.994
A,2019_8,8,4,43.997
A,2019_9,9,4,28.626
A,2019_10,10,4,11.566
A,2019_11,11,4,57.624
A,2019_12,12,4,11.451
A,2020_1,1,4,35.458
A,2020_2,2,4,34.082
A,2020_3,3,4,48.869
A,2020_4,4,4,28.36
A,2020_5,5,4,223.24
A,2020_6,6,4,240.493
A,2020_7,7,4,306.285
A,2020_8,8,4,122.287
A,2020_9,9,4,25.498
A,2020_10,10,4,34.225
A,2020_11,11,4,33.099
A,2020_12,12,4,11.043
A,2011_1,1,5,115.5
A,2011_2,2,5,365.53
A,2011_3,3,5,681.948
A,2011_4,4,5,759.1
A,2011_5,5,5,736.606
A,2011_6,6,5,655.649
A,2011_7,7,5,497.337
A,2011_8,8,5,59.686
A,2011_9,9,5,27.975
A,2011_10,10,5,12.065
A,2011_11,11,5,36.169
A,2011_12,12,5,8.302
A,2012_1,1,5,12.408
A,2012_2,2,5,19.152
A,2012_3,3,5,61.626
A,2012_4,4,5,128.731
A,2012_5,5,5,238.463
A,2012_6,6,5,200.427
A,2012_7,7,5,175.323
A,2012_8,8,5,97.265
A,2012_9,9,5,61.568
A,2012_10,10,5,39.748
A,2012_11,11,5,18.173
A,2012_12,12,5,15.385
A,2013_1,1,5,16.476
A,2013_2,2,5,17.632
A,2013_3,3,5,157.584
A,2013_4,4,5,101.557
A,2013_5,5,5,68.941
A,2013_6,6,5,67.241
A,2013_7,7,5,56.796
A,2013_8,8,5,38.96
A,2013_9,9,5,37.358
A,2013_10,10,5,30.901
A,2013_11,11,5,10.592
A,2013_12,12,5,43.714
A,2014_1,1,5,82.698
A,2014_2,2,5,64.635
A,2014_3,3,5,160.384
A,2014_4,4,5,67.517
A,2014_5,5,5,45.439
A,2014_6,6,5,58.115
A,2014_7,7,5,42.233
A,2014_8,8,5,26.895
A,2014_9,9,5,47.444
A,2014_10,10,5,30.412
A,2014_11,11,5,43.478
A,2014_12,12,5,42.139
A,2015_1,1,5,91.74
A,2015_2,2,5,83.064
A,2015_3,3,5,54.088
A,2015_4,4,5,249.522
A,2015_5,5,5,260.03
A,2015_6,6,5,254.054
A,2015_7,7,5,75.744
A,2015_8,8,5,60.392
A,2015_9,9,5,23.036
A,2015_10,10,5,34.161
A,2015_11,11,5,15.073
A,2015_12,12,5,25.976
A,2016_1,1,5,23.549
A,2016_2,2,5,23.677
A,2016_3,3,5,43.435
A,2016_4,4,5,47.568
A,2016_5,5,5,64.575
A,2016_6,6,5,60.559
A,2016_7,7,5,63.022
A,2016_8,8,5,62.645
A,2016_9,9,5,19.932
A,2016_10,10,5,12.885
A,2016_11,11,5,10.5
A,2016_12,12,5,24.787
A,2017_1,1,5,76.521
A,2017_2,2,5,72.006
A,2017_3,3,5,58.099
A,2017_4,4,5,82.917
A,2017_5,5,5,43.648
A,2017_6,6,5,52.865
A,2017_7,7,5,45.574
A,2017_8,8,5,90.196
A,2017_9,9,5,44.281
A,2017_10,10,5,42.086
A,2017_11,11,5,16.882
A,2017_12,12,5,30.645
A,2018_1,1,5,125.821
A,2018_2,2,5,122.999
A,2018_3,3,5,85.514
A,2018_4,4,5,154.476
A,2018_5,5,5,157.718
A,2018_6,6,5,167.562
A,2018_7,7,5,199.191
A,2018_8,8,5,233.267
A,2018_9,9,5,69.085
A,2018_10,10,5,32.116
A,2018_11,11,5,9.744
A,2018_12,12,5,31.779
A,2019_1,1,5,78.207
A,2019_2,2,5,88.704
A,2019_3,3,5,129.228
A,2019_4,4,5,193.103
A,2019_5,5,5,89.682
A,2019_6,6,5,74.679
A,2019_7,7,5,50.782
A,2019_8,8,5,41.842
A,2019_9,9,5,45.821
A,2019_10,10,5,14.713
A,2019_11,11,5,24.276
A,2019_12,12,5,17.959
A,2020_1,1,5,19.758
A,2020_2,2,5,42.22
A,2020_3,3,5,45.253
A,2020_4,4,5,181.7
A,2020_5,5,5,282.004
A,2020_6,6,5,208.512
A,2020_7,7,5,309.321
A,2020_8,8,5,113.961
A,2020_9,9,5,30.014
A,2020_10,10,5,61.806
A,2020_11,11,5,10.577
A,2020_12,12,5,13.325
A,2011_1,1,6,386.033
A,2011_2,2,6,673.431
A,2011_3,3,6,699.671
A,2011_4,4,6,748.763
A,2011_5,5,6,744.758
A,2011_6,6,6,684.183
A,2011_7,7,6,496.429
A,2011_8,8,6,53.174
A,2011_9,9,6,32.777
A,2011_10,10,6,12.022
A,2011_11,11,6,17.238
A,2011_12,12,6,12.862
A,2012_1,1,6,28.694
A,2012_2,2,6,60.872
A,2012_3,3,6,140.964
A,2012_4,4,6,164.277
A,2012_5,5,6,253.396
A,2012_6,6,6,210.17
A,2012_7,7,6,193.233
A,2012_8,8,6,99.262
A,2012_9,9,6,60.315
A,2012_10,10,6,38.9
A,2012_11,11,6,14.012
A,2012_12,12,6,35.162
A,2013_1,1,6,28.274
A,2013_2,2,6,112.575
A,2013_3,3,6,88.328
A,2013_4,4,6,77.892
A,2013_5,5,6,64.656
A,2013_6,6,6,72.511
A,2013_7,7,6,59.184
A,2013_8,8,6,45.753
A,2013_9,9,6,28.546
A,2013_10,10,6,51.578
A,2013_11,11,6,33.591
A,2013_12,12,6,70.039
A,2014_1,1,6,108.902
A,2014_2,2,6,217.164
A,2014_3,3,6,154.036
A,2014_4,4,6,45.628
A,2014_5,5,6,48.088
A,2014_6,6,6,57.775
A,2014_7,7,6,41.41
A,2014_8,8,6,23.495
A,2014_9,9,6,31.302
A,2014_10,10,6,15.096
A,2014_11,11,6,67.899
A,2014_12,12,6,81.007
A,2015_1,1,6,97.479
A,2015_2,2,6,153.732
A,2015_3,3,6,141.309
A,2015_4,4,6,308.696
A,2015_5,5,6,258.827
A,2015_6,6,6,188.876
A,2015_7,7,6,78.207
A,2015_8,8,6,86.693
A,2015_9,9,6,21.276
A,2015_10,10,6,15.36
A,2015_11,11,6,20.104
A,2015_12,12,6,24.805
A,2016_1,1,6,39.589
A,2016_2,2,6,57.907
A,2016_3,3,6,76.825
A,2016_4,4,6,52.102
A,2016_5,5,6,50.149
A,2016_6,6,6,59.859
A,2016_7,7,6,57.456
A,2016_8,8,6,73.712
A,2016_9,9,6,20.487
A,2016_10,10,6,17.581
A,2016_11,11,6,20.139
A,2016_12,12,6,56.597
A,2017_1,1,6,97.012
A,2017_2,2,6,48.666
A,2017_3,3,6,56.452
A,2017_4,4,6,61.658
A,2017_5,5,6,43.02
A,2017_6,6,6,50.431
A,2017_7,7,6,44.984
A,2017_8,8,6,96.643
A,2017_9,9,6,49.683
A,2017_10,10,6,25.5
A,2017_11,11,6,19.709
A,2017_12,12,6,119.672
A,2018_1,1,6,91.758
A,2018_2,2,6,98.287
A,2018_3,3,6,158.328
A,2018_4,4,6,192.633
A,2018_5,5,6,213.476
A,2018_6,6,6,167.514
A,2018_7,7,6,202.461
A,2018_8,8,6,204.67
A,2018_9,9,6,65.904
A,2018_10,10,6,25.622
A,2018_11,11,6,24.012
A,2018_12,12,6,73.738
A,2019_1,1,6,82.082
A,2019_2,2,6,154.67
A,2019_3,3,6,217.443
A,2019_4,4,6,141.472
A,2019_5,5,6,68.823
A,2019_6,6,6,69.484
A,2019_7,7,6,48.573
A,2019_8,8,6,50.539
A,2019_9,9,6,56.102
A,2019_10,10,6,12.801
A,2019_11,11,6,16.783
A,2019_12,12,6,12.461
A,2020_1,1,6,30.263
A,2020_2,2,6,48.657
A,2020_3,3,6,142.276
A,2020_4,4,6,232.847
A,2020_5,5,6,250.208
A,2020_6,6,6,214.339
A,2020_7,7,6,296.346
A,2020_8,8,6,104.969
A,2020_9,9,6,44.4
A,2020_10,10,6,32.953
A,2020_11,11,6,15.547
A,2020_12,12,6,55.911
