catchment,date,month,leadtime,CRPS_ref
A,2011_1,1,1,10.15043209876543
A,2011_2,2,1,18.2545987654321
A,2011_3,3,1,5.800154320987643
A,2011_4,4,1,78.03447530864199
A,2011_5,5,1,25.14518518518516
A,2011_6,6,1,231.7079320987655
A,2011_7,7,1,223.33851851851864
A,2011_8,8,1,32.88404320987647
A,2011_9,9,1,41.49558641975304
A,2011_10,10,1,10.312839506172836
A,2011_11,11,1,21.824753086419754
A,2011_12,12,1,4.134475308641976
A,2012_1,1,1,3.31043209876543
A,2012_2,2,1,9.666820987654315
A,2012_3,3,1,22.309043209876517
A,2012_4,4,1,41.12447530864198
A,2012_5,5,1,26.877407407407382
A,2012_6,6,1,36.75570987654322
A,2012_7,7,1,31.901851851851845
A,2012_8,8,1,47.37959876543204
A,2012_9,9,1,49.26780864197525
A,2012_10,10,1,10.826172839506167
A,2012_11,11,1,17.681419753086423
A,2012_12,12,1,27.40891975308644
A,2013_1,1,1,7.324876543209877
A,2013_2,2,1,15.234598765432098
A,2013_3,3,1,11.290154320987638
A,2013_4,4,1,12.327808641975317
A,2013_5,5,1,8.346296296296288
A,2013_6,6,1,17.452376543209887
A,2013_7,7,1,119.48629629629626
A,2013_8,8,1,98.37070987654316
A,2013_9,9,1,40.151141975308605
A,2013_10,10,1,9.605061728395055
A,2013_11,11,1,16.286975308641978
A,2013_12,12,1,6.5700308641975305
A,2014_1,1,1,2.933765432098763
A,2014_2,2,1,4.9912654320987535
A,2014_3,3,1,6.577932098765421
A,2014_4,4,1,8.455586419753097
A,2014_5,5,1,36.40629629629628
A,2014_6,6,1,34.95570987654321
A,2014_7,7,1,129.55851851851855
A,2014_8,8,1,32.884043209876495
A,2014_9,9,1,38.32891975308638
A,2014_10,10,1,56.95506172839504
A,2014_11,11,1,5.031419753086416
A,2014_12,12,1,2.098919753086421
A,2015_1,1,1,2.5215432098765422
A,2015_2,2,1,4.386820987654316
A,2015_3,3,1,6.31793209876542
A,2015_4,4,1,12.684475308642
A,2015_5,5,1,44.41296296296295
A,2015_6,6,1,29.655709876543227
A,2015_7,7,1,71.33740740740741
A,2015_8,8,1,106.34293209876536
A,2015_9,9,1,56.400030864197504
A,2015_10,10,1,12.117283950617274
A,2015_11,11,1,81.32808641975306
A,2015_12,12,1,9.48891975308642
A,2016_1,1,1,9.723765432098764
A,2016_2,2,1,19.734598765432096
A,2016_3,3,1,6.150154320987644
A,2016_4,4,1,26.02003086419753
A,2016_5,5,1,14.25518518518518
A,2016_6,6,1,68.9423765432099
A,2016_7,7,1,89.00518518518514
A,2016_8,8,1,105.97737654320986
A,2016_9,9,1,35.65558641975305
A,2016_10,10,1,27.71283950617281
A,2016_11,11,1,5.342530864197528
A,2016_12,12,1,36.388919753086434
A,2017_1,1,1,2.60820987654321
A,2017_2,2,1,4.41237654320987
A,2017_3,3,1,6.812376543209867
A,2017_4,4,1,10.427808641975318
A,2017_5,5,1,48.43962962962962
A,2017_6,6,1,42.44904320987655
A,2017_7,7,1,109.21962962962958
A,2017_8,8,1,33.090709876543144
A,2017_9,9,1,49.67558641975303
A,2017_10,10,1,8.857283950617276
A,2017_11,11,1,5.570308641975307
A,2017_12,12,1,3.4944753086419755
A,2018_1,1,1,3.9359876543209857
A,2018_2,2,1,5.540154320987641
A,2018_3,3,1,25.76237654320986
A,2018_4,4,1,52.19225308641979
A,2018_5,5,1,71.60740740740745
A,2018_6,6,1,30.795709876543228
A,2018_7,7,1,43.54518518518522
A,2018_8,8,1,43.82959876543205
A,2018_9,9,1,51.41447530864194
A,2018_10,10,1,53.6361728395062
A,2018_11,11,1,21.081419753086426
A,2018_12,12,1,13.444475308641977
A,2019_1,1,1,11.654876543209877
A,2019_2,2,1,12.307932098765429
A,2019_3,3,1,10.59682098765431
A,2019_4,4,1,9.116697530864204
A,2019_5,5,1,48.59074074074071
A,2019_6,6,1,33.67570987654322
A,2019_7,7,1,63.34518518518523
A,2019_8,8,1,92.12737654320986
A,2019_9,9,1,52.5811419753086
A,2019_10,10,1,29.159506172839524
A,2019_11,11,1,32.22808641975308
A,2019_12,12,1,1.9922530864197547
A,2020_1,1,1,47.927098765432106
A,2020_2,2,1,24.876820987654327
A,2020_3,3,1,6.641265432098754
A,2020_4,4,1,17.404475308641977
A,2020_5,5,1,10.889629629629628
A,2020_6,6,1,33.51570987654321
A,2020_7,7,1,29.38629629629632
A,2020_8,8,1,160.8807098765431
A,2020_9,9,1,65.4911419753086
A,2020_10,10,1,22.67283950617284
A,2020_11,11,1,9.725864197530855
A,2020_12,12,1,3.434475308641975
A,2011_1,1,2,8.72
A,2011_2,2,2,15.716
A,2011_3,3,2,69.042
A,2011_4,4,2,101.523
A,2011_5,5,2,265.118
A,2011_6,6,2,443.906
A,2011_7,7,2,161.082
A,2011_8,8,2,73.985
A,2011_9,9,2,38.573
A,2011_10,10,2,22.077
A,2011_11,11,2,24.159
A,2011_12,12,2,3.646
A,2012_1,1,2,15.173
A,2012_2,2,2,12.046
A,2012_3,3,2,60.731
A,2012_4,4,2,16.86
A,2012_5,5,2,71.416
A,2012_6,6,2,29.218
A,2012_7,7,2,52.932
A,2012_8,8,2,70.133
A,2012_9,9,2,46.722
A,2012_10,10,2,19.01
A,2012_11,11,2,43.974
A,2012_12,12,2,34.142
A,2013_1,1,2,22.858
A,2013_2,2,2,23.219
A,2013_3,3,2,14.295
A,2013_4,4,2,17.115
A,2013_5,5,2,16.842
A,2013_6,6,2,93.803
A,2013_7,7,2,47.844
A,2013_8,8,2,115.512
A,2013_9,9,2,35.15
A,2013_10,10,2,9.7
A,2013_11,11,2,20.142
A,2013_12,12,2,4.748
A,2014_1,1,2,4.795
A,2014_2,2,2,9.331
A,2014_3,3,2,11.981
A,2014_4,4,2,38.936
A,2014_5,5,2,80.394
A,2014_6,6,2,178.763
A,2014_7,7,2,139.269
A,2014_8,8,2,78.699
A,2014_9,9,2,55.485
A,2014_10,10,2,55.301
A,2014_11,11,2,5.804
A,2014_12,12,2,3.525
A,2015_1,1,2,4.495
A,2015_2,2,2,8.956
A,2015_3,3,2,10.532
A,2015_4,4,2,31.978
A,2015_5,5,2,81.398
A,2015_6,6,2,113.394
A,2015_7,7,2,219.785
A,2015_8,8,2,190.115
A,2015_9,9,2,49.94
A,2015_10,10,2,79.23
A,2015_11,11,2,91.604
A,2015_12,12,2,3.597
A,2016_1,1,2,10.311
A,2016_2,2,2,14.947
A,2016_3,3,2,16.992
A,2016_4,4,2,17.615
A,2016_5,5,2,84.536
A,2016_6,6,2,33.846
A,2016_7,7,2,56.605
A,2016_8,8,2,158.658
A,2016_9,9,2,35.143
A,2016_10,10,2,16.076
A,2016_11,11,2,19.731
A,2016_12,12,2,28.747
A,2017_1,1,2,4.667
A,2017_2,2,2,8.569
A,2017_3,3,2,12.081
A,2017_4,4,2,39.176
A,2017_5,5,2,104.078
A,2017_6,6,2,56.723
A,2017_7,7,2,65.791
A,2017_8,8,2,99.688
A,2017_9,9,2,64.026
A,2017_10,10,2,11.241
A,2017_11,11,2,7.463
A,2017_12,12,2,3.525
A,2018_1,1,2,4.718
A,2018_2,2,2,28.913
A,2018_3,3,2,77.327
A,2018_4,4,2,121.317
A,2018_5,5,2,25.995
A,2018_6,6,2,77.934
A,2018_7,7,2,53.389
A,2018_8,8,2,70.133
A,2018_9,9,2,70.958
A,2018_10,10,2,79.337
A,2018_11,11,2,34.554
A,2018_12,12,2,3.949
A,2019_1,1,2,5.021
A,2019_2,2,2,19.252
A,2019_3,3,2,10.591
A,2019_4,4,2,45.47
A,2019_5,5,2,91.088
A,2019_6,6,2,108.843
A,2019_7,7,2,193.12
A,2019_8,8,2,97.813
A,2019_9,9,2,61.298
A,2019_10,10,2,61.488
A,2019_11,11,2,29.306
A,2019_12,12,2,44.169
A,2020_1,1,2,75.947
A,2020_2,2,2,15.818
A,2020_3,3,2,29.716
A,2020_4,4,2,16.971
A,2020_5,5,2,24.967
A,2020_6,6,2,47.047
A,2020_7,7,2,114.178
A,2020_8,8,2,170.34
A,2020_9,9,2,47.448
A,2020_10,10,2,16.891
A,2020_11,11,2,6.739
A,2020_12,12,2,14.337
A,2011_1,1,3,10.508
A,2011_2,2,3,92.159
A,2011_3,3,3,94.229
A,2011_4,4,3,355.532
A,2011_5,5,3,472.992
A,2011_6,6,3,411.001
A,2011_7,7,3,129.354
A,2011_8,8,3,69.825
A,2011_9,9,3,46.373
A,2011_10,10,3,23.906
A,2011_11,11,3,17.349
A,2011_12,12,3,11.72
A,2012_1,1,3,10.536
A,2012_2,2,3,46.407
A,2012_3,3,3,25.019
A,2012_4,4,3,29.863
A,2012_5,5,3,43.697
A,2012_6,6,3,48.725
A,2012_7,7,3,48.513
A,2012_8,8,3,68.414
A,2012_9,9,3,53.439
A,2012_10,10,3,43.296
A,2012_11,11,3,50.896
A,2012_12,12,3,48.37
A,2013_1,1,3,30.613
A,2013_2,2,3,26.678
A,2013_3,3,3,19.419
A,2013_4,4,3,20.835
A,2013_5,5,3,93.027
A,2013_6,6,3,55.387
A,2013_7,7,3,69.793
A,2013_8,8,3,124.615
A,2013_9,9,3,35.373
A,2013_10,10,3,10.14
A,2013_11,11,3,15.167
A,2013_12,12,3,7.19
A,2014_1,1,3,8.781
A,2014_2,2,3,11.929
A,2014_3,3,3,43.137
A,2014_4,4,3,86.085
A,2014_5,5,3,228.307
A,2014_6,6,3,191.368
A,2014_7,7,3,188.281
A,2014_8,8,3,68.414
A,2014_9,9,3,53.916
A,2014_10,10,3,54.416
A,2014_11,11,3,7.195
A,2014_12,12,3,6.415
A,2015_1,1,3,10.246
A,2015_2,2,3,11.929
A,2015_3,3,3,42.72
A,2015_4,4,3,69.451
A,2015_5,5,3,163.847
A,2015_6,6,3,276.268
A,2015_7,7,3,333.741
A,2015_8,8,3,183.49
A,2015_9,9,3,35.069
A,2015_10,10,3,90.457
A,2015_11,11,3,73.106
A,2015_12,12,3,17.523
A,2016_1,1,3,10.23
A,2016_2,2,3,36.179
A,2016_3,3,3,16.963
A,2016_4,4,3,52.006
A,2016_5,5,3,41.145
A,2016_6,6,3,100.343
A,2016_7,7,3,119.345
A,2016_8,8,3,129.461
A,2016_9,9,3,32.248
A,2016_10,10,3,47.1
A,2016_11,11,3,15.3
A,2016_12,12,3,25.59
A,2017_1,1,3,9.646
A,2017_2,2,3,12.164
A,2017_3,3,3,53.647
A,2017_4,4,3,96.396
A,2017_5,5,3,41.79
A,2017_6,6,3,49.398
A,2017_7,7,3,60.303
A,2017_8,8,3,105.809
A,2017_9,9,3,66.005
A,2017_10,10,3,11.215
A,2017_11,11,3,6.997
A,2017_12,12,3,6.181
A,2018_1,1,3,22.472
A,2018_2,2,3,82.035
A,2018_3,3,3,153.425
A,2018_4,4,3,72.236
A,2018_5,5,3,40.796
A,2018_6,6,3,67.971
A,2018_7,7,3,68.53
A,2018_8,8,3,76.115
A,2018_9,9,3,83.931
A,2018_10,10,3,95.027
A,2018_11,11,3,17.754
A,2018_12,12,3,12.679
A,2019_1,1,3,11.572
A,2019_2,2,3,16.137
A,2019_3,3,3,41.637
A,2019_4,4,3,91.338
A,2019_5,5,3,163.427
A,2019_6,6,3,252.578
A,2019_7,7,3,194.461
A,2019_8,8,3,84.616
A,2019_9,9,3,76.563
A,2019_10,10,3,60.176
A,2019_11,11,3,80.696
A,2019_12,12,3,72.46
A,2020_1,1,3,56.045
A,2020_2,2,3,12.69
A,2020_3,3,3,24.164
A,2020_4,4,3,45.185
A,2020_5,5,3,43.341
A,2020_6,6,3,81.347
A,2020_7,7,3,135.6
A,2020_8,8,3,137.014
A,2020_9,9,3,49.393
A,2020_10,10,3,22.404
A,2020_11,11,3,8.87
A,2020_12,12,3,6.202
A,2011_1,1,4,76.139
A,2011_2,2,4,117.468
A,2011_3,3,4,352.063
A,2011_4,4,4,564.733
A,2011_5,5,4,443.774
A,2011_6,6,4,391.208
A,2011_7,7,4,132.73
A,2011_8,8,4,65.621
A,2011_9,9,4,46.435
A,2011_10,10,4,18.757
A,2011_11,11,4,10.666
A,2011_12,12,4,12.236
A,2012_1,1,4,42.56
A,2012_2,2,4,18.888
A,2012_3,3,4,19.1
A,2012_4,4,4,43.503
A,2012_5,5,4,54.367
A,2012_6,6,4,53.47
A,2012_7,7,4,57.558
A,2012_8,8,4,67.104
A,2012_9,9,4,62.761
A,2012_10,10,4,50.143
A,2012_11,11,4,66.871
A,2012_12,12,4,53.768
A,2013_1,1,4,36.58
A,2013_2,2,4,26.652
A,2013_3,3,4,15.132
A,2013_4,4,4,101.029
A,2013_5,5,4,56.907
A,2013_6,6,4,75.079
A,2013_7,7,4,72.656
A,2013_8,8,4,112.997
A,2013_9,9,4,34.623
A,2013_10,10,4,9.628
A,2013_11,11,4,15.785
A,2013_12,12,4,11.359
A,2014_1,1,4,11.443
A,2014_2,2,4,40.014
A,2014_3,3,4,93.322
A,2014_4,4,4,234.195
A,2014_5,5,4,242.227
A,2014_6,6,4,217.262
A,2014_7,7,4,128.239
A,2014_8,8,4,65.621
A,2014_9,9,4,52.291
A,2014_10,10,4,48.232
A,2014_11,11,4,10.36
A,2014_12,12,4,12.075
A,2015_1,1,4,10.853
A,2015_2,2,4,43.648
A,2015_3,3,4,85.588
A,2015_4,4,4,150.481
A,2015_5,5,4,336.207
A,2015_6,6,4,389.607
A,2015_7,7,4,330.125
A,2015_8,8,4,120.358
A,2015_9,9,4,34.928
A,2015_10,10,4,74.018
A,2015_11,11,4,95.831
A,2015_12,12,4,13.66
A,2016_1,1,4,28.306
A,2016_2,2,4,21.439
A,2016_3,3,4,64.308
A,2016_4,4,4,49.486
A,2016_5,5,4,121.72
A,2016_6,6,4,168.677
A,2016_7,7,4,94.452
A,2016_8,8,4,140.811
A,2016_9,9,4,34.443
A,2016_10,10,4,40.569
A,2016_11,11,4,14.735
A,2016_12,12,4,15.835
A,2017_1,1,4,11.765
A,2017_2,2,4,48.959
A,2017_3,3,4,115.677
A,2017_4,4,4,46.284
A,2017_5,5,4,55.453
A,2017_6,6,4,80.026
A,2017_7,7,4,60.418
A,2017_8,8,4,103.598
A,2017_9,9,4,65.872
A,2017_10,10,4,13.667
A,2017_11,11,4,10.36
A,2017_12,12,4,22.388
A,2018_1,1,4,73.129
A,2018_2,2,4,155.545
A,2018_3,3,4,101.258
A,2018_4,4,4,47.985
A,2018_5,5,4,51.023
A,2018_6,6,4,83.226
A,2018_7,7,4,51.377
A,2018_8,8,4,84.599
A,2018_9,9,4,93.212
A,2018_10,10,4,76.276
A,2018_11,11,4,28.267
A,2018_12,12,4,16.822
A,2019_1,1,4,11.789
A,2019_2,2,4,31.698
A,2019_3,3,4,89.215
A,2019_4,4,4,163.365
A,2019_5,5,4,317.217
A,2019_6,6,4,222.979
A,2019_7,7,4,154.744
A,2019_8,8,4,71.14
A,2019_9,9,4,75.54
A,2019_10,10,4,109.888
A,2019_11,11,4,109.481
A,2019_12,12,4,53.075
A,2020_1,1,4,28.946
A,2020_2,2,4,18.668
A,2020_3,3,4,59.66
A,2020_4,4,4,53.924
A,2020_5,5,4,79.774
A,2020_6,6,4,95.978
A,2020_7,7,4,104.1
A,2020_8,8,4,146.251
A,2020_9,9,4,45.365
A,2020_10,10,4,35.147
A,2020_11,11,4,11.142
A,2020_12,12,4,10.599
A,2011_1,1,5,101.653
A,2011_2,2,5,375.626
A,2011_3,3,5,559.155
A,2011_4,4,5,529.851
A,2011_5,5,5,422.367
A,2011_6,6,5,397.324
A,2011_7,7,5,161.82
A,2011_8,8,5,63.877
A,2011_9,9,5,42.216
A,2011_10,10,5,12.537
A,2011_11,11,5,26.893
A,2011_12,12,5,46.85
A,2012_1,1,5,18.617
A,2012_2,2,5,28.498
A,2012_3,3,5,43.965
A,2012_4,4,5,55.866
A,2012_5,5,5,57.746
A,2012_6,6,5,56.375
A,2012_7,7,5,59.356
A,2012_8,8,5,74.335
A,2012_9,9,5,65.53
A,2012_10,10,5,65.537
A,2012_11,11,5,70.715
A,2012_12,12,5,59.39
A,2013_1,1,5,33.799
A,2013_2,2,5,14.685
A,2013_3,3,5,105.547
A,2013_4,4,5,57.184
A,2013_5,5,5,70.559
A,2013_6,6,5,77.888
A,2013_7,7,5,63.065
A,2013_8,8,5,107.647
A,2013_9,9,5,31.285
A,2013_10,10,5,11.721
A,2013_11,11,5,19.165
A,2013_12,12,5,12.149
A,2014_1,1,5,42.831
A,2014_2,2,5,89.533
A,2014_3,3,5,237.94
A,2014_4,4,5,245.504
A,2014_5,5,5,269.038
A,2014_6,6,5,158.087
A,2014_7,7,5,127.287
A,2014_8,8,5,63.877
A,2014_9,9,5,48.916
A,2014_10,10,5,41.919
A,2014_11,11,5,15.547
A,2014_12,12,5,12.149
A,2015_1,1,5,45.67
A,2015_2,2,5,88.28
A,2015_3,3,5,163.65
A,2015_4,4,5,316.215
A,2015_5,5,5,447.931
A,2015_6,6,5,386.647
A,2015_7,7,5,245.024
A,2015_8,8,5,112.986
A,2015_9,9,5,29.726
A,2015_10,10,5,98.66
A,2015_11,11,5,78.369
A,2015_12,12,5,37.79
A,2016_1,1,5,19.224
A,2016_2,2,5,45.616
A,2016_3,3,5,44.943
A,2016_4,4,5,98.901
A,2016_5,5,5,189.449
A,2016_6,6,5,136.948
A,2016_7,7,5,99.887
A,2016_8,8,5,114.126
A,2016_9,9,5,31.336
A,2016_10,10,5,39.181
A,2016_11,11,5,11.563
A,2016_12,12,5,21.415
A,2017_1,1,5,51.198
A,2017_2,2,5,113.836
A,2017_3,3,5,43.965
A,2017_4,4,5,56.997
A,2017_5,5,5,118.452
A,2017_6,6,5,81.426
A,2017_7,7,5,56.91
A,2017_8,8,5,100.283
A,2017_9,9,5,74.65
A,2017_10,10,5,12.942
A,2017_11,11,5,24.426
A,2017_12,12,5,73.583
A,2018_1,1,5,145.385
A,2018_2,2,5,107.15
A,2018_3,3,5,52.651
A,2018_4,4,5,60.029
A,2018_5,5,5,52.879
A,2018_6,6,5,59.773
A,2018_7,7,5,52.636
A,2018_8,8,5,94.502
A,2018_9,9,5,82.71
A,2018_10,10,5,90.06
A,2018_11,11,5,35.687
A,2018_12,12,5,18.881
A,2019_1,1,5,40.203
A,2019_2,2,5,73.525
A,2019_3,3,5,156.58
A,2019_4,4,5,311.295
A,2019_5,5,5,286.39
A,2019_6,6,5,192.131
A,2019_7,7,5,128.571
A,2019_8,8,5,69.11
A,2019_9,9,5,106.752
A,2019_10,10,5,141.45
A,2019_11,11,5,87.919
A,2019_12,12,5,29.543
A,2020_1,1,5,34.215
A,2020_2,2,5,38.089
A,2020_3,3,5,63.825
A,2020_4,4,5,73.991
A,2020_5,5,5,106.158
A,2020_6,6,5,75.978
A,2020_7,7,5,113.939
A,2020_8,8,5,139.933
A,2020_9,9,5,38.243
A,2020_10,10,5,19.218
A,2020_11,11,5,10.332
A,2020_12,12,5,68.85
A,2011_1,1,6,360.342
A,2011_2,2,6,583.307
A,2011_3,3,6,525.95
A,2011_4,4,6,505.235
A,2011_5,5,6,428.771
A,2011_6,6,6,425.187
A,2011_7,7,6,166.224
A,2011_8,8,6,64.095
A,2011_9,9,6,35.874
A,2011_10,10,6,22.156
A,2011_11,11,6,65.574
A,2011_12,12,6,21.058
A,2012_1,1,6,33.645
A,2012_2,2,6,47.674
A,2012_3,3,6,58.823
A,2012_4,4,6,60.402
A,2012_5,5,6,55.903
A,2012_6,6,6,56.131
A,2012_7,7,6,71.228
A,2012_8,8,6,79.539
A,2012_9,9,6,76.922
A,2012_10,10,6,70.971
A,2012_11,11,6,74.996
A,2012_12,12,6,56.046
A,2013_1,1,6,16.948
A,2013_2,2,6,122.757
A,2013_3,3,6,59.593
A,2013_4,4,6,73.045
A,2013_5,5,6,73.577
A,2013_6,6,6,68.531
A,2013_7,7,6,59.028
A,2013_8,8,6,109.71
A,2013_9,9,6,31.411
A,2013_10,10,6,13.051
A,2013_11,11,6,19.469
A,2013_12,12,6,38.189
A,2014_1,1,6,97.593
A,2014_2,2,6,232.667
A,2014_3,3,6,252.591
A,2014_4,4,6,269.679
A,2014_5,5,6,210.151
A,2014_6,6,6,159.709
A,2014_7,7,6,128.515
A,2014_8,8,6,64.095
A,2014_9,9,6,47.584
A,2014_10,10,6,28.542
A,2014_11,11,6,14.449
A,2014_12,12,6,45.889
A,2015_1,1,6,95.069
A,2015_2,2,6,165.667
A,2015_3,3,6,331.827
A,2015_4,4,6,424.732
A,2015_5,5,6,445.26
A,2015_6,6,6,292.773
A,2015_7,7,6,236.244
A,2015_8,8,6,121.63
A,2015_9,9,6,36.934
A,2015_10,10,6,83.811
A,2015_11,11,6,106.303
A,2015_12,12,6,24.445
A,2016_1,1,6,57.739
A,2016_2,2,6,53.377
A,2016_3,3,6,105.272
A,2016_4,4,6,162.855
A,2016_5,5,6,160.118
A,2016_6,6,6,146.183
A,2016_7,7,6,81.153
A,2016_8,8,6,115.857
A,2016_9,9,6,30.757
A,2016_10,10,6,24.316
A,2016_11,11,6,18.739
A,2016_12,12,6,28.991
A,2017_1,1,6,120.971
A,2017_2,2,6,47.674
A,2017_3,3,6,64.259
A,2017_4,4,6,116.438
A,2017_5,5,6,117.911
A,2017_6,6,6,80.037
A,2017_7,7,6,55.09
A,2017_8,8,6,101.785
A,2017_9,9,6,70.104
A,2017_10,10,6,14.561
A,2017_11,11,6,73.369
A,2017_12,12,6,146.472
A,2018_1,1,6,100.49
A,2018_2,2,6,57.302
A,2018_3,3,6,62.616
A,2018_4,4,6,64.416
A,2018_5,5,6,59.847
A,2018_6,6,6,53.839
A,2018_7,7,6,53.553
A,2018_8,8,6,88.847
A,2018_9,9,6,94.376
A,2018_10,10,6,94.421
A,2018_11,11,6,35.601
A,2018_12,12,6,31.094
A,2019_1,1,6,91.682
A,2019_2,2,6,137.917
A,2019_3,3,6,306.187
A,2019_4,4,6,281.709
A,2019_5,5,6,254.912
A,2019_6,6,6,160.012
A,2019_7,7,6,130.375
A,2019_8,8,6,64.095
A,2019_9,9,6,130.97
A,2019_10,10,6,122.501
A,2019_11,11,6,54.988
A,2019_12,12,6,34.77
A,2020_1,1,6,14.858
A,2020_2,2,6,49.712
A,2020_3,3,6,64.823
A,2020_4,4,6,85.999
A,2020_5,5,6,85.327
A,2020_6,6,6,81.093
A,2020_7,7,6,108.704
A,2020_8,8,6,128.246
A,2020_9,9,6,46.777
A,2020_10,10,6,23.939
A,2020_11,11,6,74.88
A,2020_12,12,6,92.372
